integrated_rank,gene,final_integrated_score,final_tier,adjusted_biomarker_score,biomarker_score,avg_log2FC,absolute_log2FC,pct.1,pct.2,prevalence_difference,mean_sample_prevalence,minimum_sample_prevalence,maximum_sample_prevalence,consistency_category,sample_consistency_score,specificity_score,prevalence_score,significance_score,high_priority,robust_3sample,final_biological_category,biological_class,GO_BP_support,GO_CC_support,GO_MF_support,KEGG_support,pathway_support,epithelial_relevance,proliferation_relevance,mitochondrial_relevance,stress_relevance,metabolic_flag,biological_review_flag,strong_candidate,strong_3sample,review_category,final_review_status,pathway_support_score,biological_relevance_score,consistency_penalty,review_penalty,final_biological_score,tumor_priority_score,OXPHOS_priority_score,final_panel_rank,final_review_class,ML_folds_selected,ML_support,consensus_status
102,NDUFA8,0.647985164378658,Tier_2_OXPHOS,0.671864627090596,0.671864627090596,0.90451701672477,0.90451701672477,0.744,0.444,0.3,0.736628981523768,0.643884892086331,0.813370473537604,Consistent_3_of_3,1,0.3,0.744,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.494372925418119,0,0,0.494372925418119,0.693952619481709,0.830359388127179,35,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
136,MRPL23,0.63355914902705,Tier_3_Other,0.671817497084747,0.671817497084747,0.891339976677975,0.891339976677975,0.732,0.412,0.32,0.724535053089327,0.651079136690647,0.781578947368421,Consistent_3_of_3,1,0.32,0.732,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.494363499416949,0,0,0.494363499416949,0.695536123979661,0.827945249125424,36,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
41,IDH2,0.677867804054534,Tier_2_OXPHOS,0.670927365297269,0.670927365297269,0.660218922378154,0.660218922378154,0.908,0.624,0.284,0.901316097100329,0.838129496402878,0.960526315789474,Consistent_3_of_3,1,0.284,0.908,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.494185473059454,0,0,0.494185473059454,0.723224577854044,0.862878209589181,37,Mitochondrial_OXPHOS,1,Weak_ML_support,Weak_ML_support
55,NDUFB4,0.672060477631703,Tier_2_OXPHOS,0.669011888572467,0.669011888572467,0.723295108579735,0.723295108579735,0.96,0.777,0.183,0.959491881644955,0.944736842105263,0.98050139275766,Consistent_3_of_3,1,0.183,0.96,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.493802377714493,0,0,0.493802377714493,0.712754161000363,0.87270356657174,38,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
300,COX11,0.569418642386706,Tier_3_Other,0.664678785150076,0.664678785150076,1.32863028120061,1.32863028120061,0.455,0.167,0.288,0.459511604907542,0.423684210526316,0.503597122302158,Consistent_3_of_3,1,0.288,0.455,1.0,True,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.492935757030015,0,0,0.492935757030015,0.631237574802527,0.770403635545023,39,Other_Research_Candidate,1,Weak_ML_support,Weak_ML_support
68,NDUFA7,0.665890917795199,Tier_2_OXPHOS,0.662635773493152,0.662635773493152,0.651486187945216,0.651486187945216,0.868,0.58,0.288,0.872488035081391,0.839473684210526,0.91726618705036,Consistent_3_of_3,1,0.288,0.868,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.49252715469863,0,0,0.49252715469863,0.713122520722603,0.852390732047946,40,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
179,MRPL40,0.617205857134868,Tier_3_Other,0.662572256799186,0.662572256799186,0.900578054393485,0.900578054393485,0.663,0.326,0.337,0.652398556158738,0.543165467625899,0.731578947368421,Consistent_3_of_3,1,0.337,0.663,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.492514451359837,0,0,0.492514451359837,0.681900289879715,0.811371677039756,41,Other_Research_Candidate,1,Weak_ML_support,Weak_ML_support
62,NDUFS6,0.667746100131695,Tier_2_OXPHOS,0.662463999645813,0.662463999645813,0.640511997166507,0.640511997166507,0.889,0.616,0.273,0.887149538542454,0.866295264623955,0.921052631578947,Consistent_3_of_3,1,0.273,0.889,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.492492799929163,0,0,0.492492799929163,0.714262399876034,0.856539199893744,42,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
138,NDUFS3,0.633010436249248,Tier_2_OXPHOS,0.659863118127973,0.659863118127973,0.866104945023785,0.866104945023785,0.685,0.362,0.323,0.674962302552035,0.550359712230216,0.777158774373259,Consistent_3_of_3,1,0.323,0.685,1.0,False,True,Mitochondrial_Metabolic,Mitochondrial_OXPHOS,True,True,True,False,True,False,False,True,False,,Standard_candidate,True,True,Mitochondrial_OXPHOS,Standard,4,0.491972623625595,0,0,0.491972623625595,0.682552091344791,0.814958935438392,43,Mitochondrial_OXPHOS,2,Moderate_ML_support,Moderate_consensus
97,CALR,0.649503477513745,Tier_3_Other,0.658491794373848,0.658491794373848,0.626334354990783,0.626334354990783,0.901,0.651,0.25,0.897806428658569,0.838440111420613,0.973684210526316,Consistent_3_of_3,1,0.25,0.901,1.0,False,True,Other_Candidate,Other_Candidate,True,True,True,False,True,False,False,False,False,,Standard_candidate,True,True,Other_Research_Candidate,Standard,4,0.49169835887477,0,0,0.49169835887477,0.710672128030847,0.857747538312154,44,Other_Research_Candidate,2,Moderate_ML_support,Moderate_consensus
