gene,folds_selected,ML_recurrence_group
BTG2,1,1_of_3
C11orf58,1,1_of_3
C12orf57,1,1_of_3
C15orf61,1,1_of_3
C1orf115,1,1_of_3
C3orf14,1,1_of_3
C7orf50,1,1_of_3
CA12,1,1_of_3
CALM3,1,1_of_3
CALY,1,1_of_3
CAP2,1,1_of_3
CCDC115,1,1_of_3
CCDC151,1,1_of_3
CCDC34,1,1_of_3
CCDC85B,1,1_of_3
CCN1,1,1_of_3
CCND1,1,1_of_3
CD24,1,1_of_3
CD40,1,1_of_3
CD81,1,1_of_3
CD99,1,1_of_3
CDH1,1,1_of_3
CDKN1C,1,1_of_3
CDS2,1,1_of_3
CEACAM5,1,1_of_3
CENPX,1,1_of_3
CERS2,1,1_of_3
CFB,1,1_of_3
CHI3L1,1,1_of_3
CHPF,1,1_of_3
CHST8,1,1_of_3
CITED4,1,1_of_3
CLPTM1,1,1_of_3
CLTC,1,1_of_3
CMTM8,1,1_of_3
CNPY3,1,1_of_3
COA1,1,1_of_3
COA3,1,1_of_3
COL12A1,1,1_of_3
COMT,1,1_of_3
COMTD1,1,1_of_3
COPZ2,1,1_of_3
COX6C,1,1_of_3
COX7C,1,1_of_3
CPD,1,1_of_3
CRIP1,1,1_of_3
CRNDE,1,1_of_3
CTPS2,1,1_of_3
CTSB,1,1_of_3
CTSZ,1,1_of_3
CXXC5,1,1_of_3
CYB5A,1,1_of_3
CYBA,1,1_of_3
CYP4X1,1,1_of_3
DCAF7,1,1_of_3
DCTN3,1,1_of_3
DCXR,1,1_of_3
DDIT4,1,1_of_3
DDRGK1,1,1_of_3
DDT,1,1_of_3
DDX42,1,1_of_3
DEDD2,1,1_of_3
DEGS2,1,1_of_3
DMAC1,1,1_of_3
DNAJA1,1,1_of_3
DNAJB1,1,1_of_3
DNAJC3,1,1_of_3
DRAP1,1,1_of_3
DSP,1,1_of_3
DUBR,1,1_of_3
DUSP4,1,1_of_3
EGFL7,1,1_of_3
EGR1,1,1_of_3
EHF,1,1_of_3
EIF1AX,1,1_of_3
EIF2AK1,1,1_of_3
EIF3K,1,1_of_3
EIF4A1,1,1_of_3
ELP5,1,1_of_3
EMC10,1,1_of_3
EMID1,1,1_of_3
ENO1,1,1_of_3
EPHX1,1,1_of_3
ERBB3,1,1_of_3
ERGIC1,1,1_of_3
ERLEC1,1,1_of_3
ERP29,1,1_of_3
EXOSC3,1,1_of_3
FAM102A,1,1_of_3
FAM162A,1,1_of_3
FAM89B,1,1_of_3
FBLN1,1,1_of_3
FBP1,1,1_of_3
FCRLB,1,1_of_3
FGFR1,1,1_of_3
FLYWCH2,1,1_of_3
FOSB,1,1_of_3
FRMD3,1,1_of_3
FSIP1,1,1_of_3
FSTL3,1,1_of_3
FXYD5,1,1_of_3
GADD45B,1,1_of_3
GADD45GIP1,1,1_of_3
GALNT6,1,1_of_3
GAMT,1,1_of_3
GAS2L1,1,1_of_3
GAS5,1,1_of_3
GATM,1,1_of_3
GHITM,1,1_of_3
GJB1,1,1_of_3
GNAS,1,1_of_3
GNG10,1,1_of_3
GNS,1,1_of_3
GOLGB1,1,1_of_3
GOLM1,1,1_of_3
GOLM2,1,1_of_3
GOT2,1,1_of_3
GPAA1,1,1_of_3
GPRC5C,1,1_of_3
GPRIN3,1,1_of_3
GPX4,1,1_of_3
GREB1,1,1_of_3
GRN,1,1_of_3
GSTM3,1,1_of_3
