gene,detected_cells,detection_fraction,total_expression,mean_expression
ENTPD2,233,0.06895531222255105,128.0848802555642,0.037906149824079374
BCAS3,233,0.06895531222255105,169.01998606971895,0.050020712065616736
MOSPD2,233,0.06895531222255105,135.38008379085616,0.040065132817654975
C20orf194,233,0.06895531222255105,152.71766766492672,0.04519611354392623
PLCD3,233,0.06895531222255105,149.25828322782775,0.0441723241277975
ADO,233,0.06895531222255105,132.86921143190673,0.039322051326400334
TRIM14,233,0.06895531222255105,133.87633824371767,0.03962010602063264
HYPK,233,0.06895531222255105,175.72482341281636,0.05200497881409185
PMS1,233,0.06895531222255105,142.5224579287631,0.042178886631773625
BLOC1S5,233,0.06895531222255105,140.95156368151964,0.04171398747603423
ZBED4,233,0.06895531222255105,137.0070444250169,0.040546624570883955
TDRP,233,0.06895531222255105,143.15633225411335,0.04236647891509717
C1RL,233,0.06895531222255105,140.57258925428002,0.041601831682237356
ADCK5,233,0.06895531222255105,133.8233693293703,0.03960443010635404
NIPA1,233,0.06895531222255105,134.29117944697398,0.039742876427041725
ZNF90,232,0.06865936667653152,133.74745303598453,0.03958196301745621
ARHGAP30,232,0.06865936667653152,143.94117725989116,0.04259875029887279
VARS2,232,0.06865936667653152,136.27008747646948,0.040328525444353204
SETD1B,232,0.06865936667653152,126.18644188078812,0.03734431544267183
TAP2,232,0.06865936667653152,139.41249954302623,0.04125850829920871
AC133552.5,232,0.06865936667653152,153.90590471487042,0.04554776700647245
MARCHF8,232,0.06865936667653152,143.02626659972566,0.04232798656399102
ABHD10,232,0.06865936667653152,146.97864357828732,0.04349767492698648
TADA2B,232,0.06865936667653152,132.53740812646134,0.03922385561599921
LIMK1,232,0.06865936667653152,132.58774932656175,0.0392387538699502
ARHGEF9,232,0.06865936667653152,135.096459917241,0.03998119559551376
PTER,232,0.06865936667653152,152.05600741611832,0.04500029814031321
CKMT1A,232,0.06865936667653152,167.3245413341212,0.04951895274759432
ZNF316,232,0.06865936667653152,143.9262172395224,0.042594322947476296
SYNGAP1,232,0.06865936667653152,144.36427326995795,0.042723963678590694
USF3,232,0.06865936667653152,139.7391642630836,0.04135518326815141
DNAJC13,232,0.06865936667653152,129.7054703137302,0.03838575623371713
OSBPL5,232,0.06865936667653152,136.5689800325432,0.04041698136506162
FBXO45,232,0.06865936667653152,127.3551566701901,0.037690191379162505
EPC2,232,0.06865936667653152,130.87188477447955,0.03873095139818868
SBF1,231,0.06836342113051198,139.2437337707989,0.04120856282059749
PUDP,231,0.06836342113051198,131.04388395236242,0.03878185378880214
ATAD2B,231,0.06836342113051198,148.07353763544805,0.043821703946566454
ADAT1,231,0.06836342113051198,132.46545896984142,0.039202562583557685
RAD51B,231,0.06836342113051198,147.25402308334736,0.04357917226497406
PIFO,231,0.06836342113051198,137.51236060177746,0.04069617064272787
PHETA2,231,0.06836342113051198,140.3794036590115,0.04154465926576251
MAPK8IP3,231,0.06836342113051198,150.51287906027918,0.04454361617646617
AC106045.1,231,0.06836342113051198,169.02974025056162,0.050023598771992195
LMX1B,231,0.06836342113051198,140.0661181743581,0.041451943821946766
ACSS2,231,0.06836342113051198,138.11614497322603,0.04087485793821427
AC010168.2,231,0.06836342113051198,165.86148891376,0.04908596890019533
C17orf97,231,0.06836342113051198,147.1989420921459,0.04356287129095765
USP40,231,0.06836342113051198,140.87291465399065,0.04169071164663825
