"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.28379628877938e-21,-1.54576984512077,0.818,0.922,1.93524322872834e-16,"TACSTD2"
5.50364589162476e-21,-1.00704151988179,0.982,1,2.01576534426649e-16,"KRT18"
6.19597487909402e-21,-1.14189688821802,0.94,1,2.26933775921698e-16,"KRT8"
1.79963565997734e-20,-1.28741849349938,0.492,0.812,6.59134556823302e-16,"MYH9"
1.99394002919513e-20,-2.14434935518902,0.129,0.429,7.30300475093008e-16,"WWTR1"
2.86012474830751e-20,-2.55330130235102,0.062,0.299,1.04754929031511e-15,"MPZL2"
5.41951035046614e-20,0.678383520079028,0.987,0.974,1.98494986096173e-15,"MZT2B"
7.3706149240846e-20,2.16148304883449,0.632,0.227,2.69956142209523e-15,"PVALB"
8.44683024581413e-20,-1.88266180755109,0.233,0.558,3.09373604583188e-15,"DUSP10"
1.06932875036912e-19,1.73262377793009,0.698,0.325,3.91652348110194e-15,"DNAJC12"
1.17585962360646e-19,-5.3344732503981,0.011,0.149,4.306703457421e-15,"ACTA2"
1.1916173585499e-19,1.99877006150566,0.612,0.208,4.36441773742485e-15,"KCNJ3"
1.59580878283075e-19,-2.23521468265345,0.106,0.383,5.84480924799592e-15,"RBMS1"
1.73790433326693e-19,-5.17351661093142,0.009,0.143,6.36524841102345e-15,"CCL22"
2.05527876620074e-19,-1.86311106513765,0.133,0.435,7.52766400908684e-15,"MIR4435-2HG"
2.52750923292476e-19,-1.23035198395248,0.549,0.825,9.25725531651022e-15,"HLA-B"
3.06016633512399e-19,-0.671885692059055,0.984,1,1.12081652190251e-14,"OAZ1"
3.20196885434194e-19,-1.57212237939619,0.189,0.526,1.17275311259128e-14,"ILVBL"
3.70021911821371e-19,-3.67058624710767,0.013,0.156,1.35524225423695e-14,"CDC42EP3"
4.19634395566859e-19,-0.602154586082912,1,1,1.53695293720318e-14,"RPS16"
7.01938574103108e-19,-2.13171284041398,0.097,0.364,2.57092022151004e-14,"KCNK1"
7.32600052873356e-19,-1.49281193162019,0.281,0.636,2.68322095365395e-14,"PDZK1IP1"
1.22318198208601e-18,-1.45219505434472,0.167,0.481,4.48002632758822e-14,"LTF"
1.2409070474783e-18,-2.56836093796165,0.051,0.266,4.54494615209402e-14,"AK4"
2.03276177906014e-18,-1.57414247723625,0.191,0.519,7.44519329198566e-14,"PRNP"
2.14627065359388e-18,-3.31678852796167,0.018,0.169,7.86093089585295e-14,"ITGB8"
2.17030846802442e-18,-2.05661355394508,0.089,0.344,7.94897179498625e-14,"PPL"
3.08994144761263e-18,-1.61360739506561,0.264,0.584,1.1317219546026e-13,"VPS37B"
3.21416528579471e-18,-1.69395024576643,0.331,0.675,1.17722017757517e-13,"BBC3"
4.16706946508616e-18,-2.19477198966114,0.159,0.448,1.52623086228246e-13,"SDC1"
6.03496207562436e-18,0.86216148690848,0.953,0.87,2.21036520981818e-13,"GATA3"
6.73873733128221e-18,0.950136986325841,0.996,1,2.46812993495542e-13,"MT-ND3"
7.18723932696032e-18,-2.69592744976344,0.041,0.234,2.63239827589249e-13,"AL133453.1"
7.23307644471301e-18,-0.823878809782975,1,1,2.64918657864059e-13,"ACTB"
7.38978296373522e-18,0.939709651064766,0.953,0.903,2.70658190829766e-13,"CIRBP"
7.53280705831947e-18,1.0369414805583,0.996,0.981,2.75896591318009e-13,"COX6C"
7.64630542397591e-18,-1.26733444679965,0.443,0.786,2.80053582458542e-13,"PMAIP1"
8.01393510270703e-18,-0.832017299099741,0.947,0.994,2.93518387071748e-13,"ANXA2"
8.16376410196654e-18,-2.0003205206891,0.269,0.584,2.99006023998627e-13,"ARHGAP29"
8.9678492596735e-18,1.48014599350857,0.963,0.909,3.28456446984802e-13,"CD9"
9.43766325116143e-18,-5.44172056668801,0.023,0.182,3.45663854237039e-13,"ANXA1"
9.64040650571072e-18,-0.936370575209303,0.974,0.994,3.53089528678161e-13,"ACTG1"
9.68979051328166e-18,2.84304150788562,0.52,0.169,3.54898267339454e-13,"KIF12"
1.04810894281757e-17,-1.10078939958203,0.763,0.981,3.83880381396364e-13,"TMSB4X"
1.09726188400164e-17,-1.66099918872835,0.261,0.578,4.0188313763444e-13,"OGFRL1"
1.18489197664788e-17,-3.02585499404155,0.171,0.448,4.33978535367054e-13,"IGFBP5"
1.27263734518491e-17,-1.36386867045541,0.442,0.76,4.66116154047423e-13,"ASPH"
