"gene","sample_id","expressing_fraction","mean_expression"
"ITPK1","BC17",0.286908077994429,0.22296773646445
"SNF8","BC11",0.830935251798561,0.939693696378061
"SNF8","BC12",0.857894736842105,0.772658992991806
"SNF8","BC17",0.512534818941504,0.437921822505103
"COX7B","BC11",0.935251798561151,1.34421834258483
"COX7B","BC12",0.939473684210526,1.12528891117284
"COX7B","BC17",0.991643454038997,2.33305642685004
"SEZ6L2","BC11",0.467625899280576,0.379479129688801
"SEZ6L2","BC12",0.413157894736842,0.215759180492163
"SEZ6L2","BC17",0.479108635097493,0.429863927515988
"IFI27","BC11",0.992805755395683,3.28821441839394
"IFI27","BC12",0.778947368421053,1.4515223348372
"IFI27","BC17",0.0194986072423398,0.0178629828920928
"CSAD","BC11",0.575539568345324,0.539675397304249
"CSAD","BC12",0.778947368421053,0.705326617794229
"CSAD","BC17",0.557103064066852,0.555549012267569
"SERPINA5","BC11",0.805755395683453,1.07788529858411
"SERPINA5","BC12",0.0763157894736842,0.0375230067717712
"SERPINA5","BC17",0.303621169916435,0.299126423962539
"GALNT1","BC11",0.514388489208633,0.401412556252059
"GALNT1","BC12",0.734210526315789,0.519437555288202
"GALNT1","BC17",0.303621169916435,0.251999678084994
"CCDC167","BC11",0.52158273381295,0.453413663344127
"CCDC167","BC12",0.7,0.514070992595732
"CCDC167","BC17",0.565459610027855,0.535213016026881
"PRKAR1A","BC11",0.967625899280576,1.61629309241356
"PRKAR1A","BC12",0.660526315789474,0.40810389301552
"PRKAR1A","BC17",0.752089136490251,0.81314134162701
"MRPS23","BC11",0.841726618705036,0.990743729847825
"MRPS23","BC12",0.647368421052632,0.448062776129797
"MRPS23","BC17",0.518105849582173,0.488976076054417
"RWDD4","BC11",0.438848920863309,0.345855926965068
"RWDD4","BC12",0.484210526315789,0.261822293592589
"RWDD4","BC17",0.796657381615599,1.12620750744678
"IRF2BPL","BC11",0.294964028776978,0.207055855373593
"IRF2BPL","BC12",0.434210526315789,0.241018631284791
"IRF2BPL","BC17",0.473537604456825,0.428484528535773
"HACD3","BC11",0.838129496402878,1.02648388021479
"HACD3","BC12",0.660526315789474,0.478846391860753
"HACD3","BC17",0.802228412256267,0.966904474666314
"DGCR6L","BC11",0.539568345323741,0.468776646580676
"DGCR6L","BC12",0.642105263157895,0.431821636676812
"DGCR6L","BC17",0.657381615598886,0.643429226466764
"NDUFB10","BC11",0.920863309352518,1.27601735628469
"NDUFB10","BC12",0.952631578947368,1.44377148841899
"NDUFB10","BC17",0.899721448467967,1.3983911236613
"NDUFB9","BC11",0.971223021582734,1.45377076612551
"NDUFB9","BC12",0.955263157894737,1.43210157123587
"NDUFB9","BC17",0.983286908077994,1.97613689206832
"NR2F6","BC11",0.633093525179856,0.559174705303381
"NR2F6","BC12",0.571052631578947,0.347094770827653
"NR2F6","BC17",0.540389972144847,0.495350982575662
"PRLR","BC11",0.676258992805755,0.67145715682623
"PRLR","BC12",0.607894736842105,0.398559767123205
"PRLR","BC17",0.582172701949861,0.576327526964923
"SPATA20","BC11",0.661870503597122,0.626995901578953
"SPATA20","BC12",0.307894736842105,0.142261436909226
"SPATA20","BC17",0.417827298050139,0.36071477482516
"MAFB","BC11",0.118705035971223,0.0770917842620943
"MAFB","BC12",0.384210526315789,0.310660874114561
"MAFB","BC17",0.67966573816156,0.869653460881749
"C18orf32","BC11",0.776978417266187,0.815106973217827
"C18orf32","BC12",0.91578947368421,1.04882746296313
"C18orf32","BC17",0.966573816155989,1.80278095744578
"PRDX2","BC11",0.97841726618705,1.87189737981066
"PRDX2","BC12",0.928947368421053,1.17302328445618
"PRDX2","BC17",0.98050139275766,2.08299420782684
"PDHB","BC11",0.345323741007194,0.249528808840713
"PDHB","BC12",0.592105263157895,0.355990805702024
"PDHB","BC17",0.6991643454039,0.760955924935399
"WFDC2","BC11",0.0539568345323741,0.0374118727955583
"WFDC2","BC12",0.823684210526316,1.20271363603235
"WFDC2","BC17",0.841225626740947,1.15010611733098
"TSPAN13","BC11",0.967625899280576,1.56031342590885
"TSPAN13","BC12",0.989473684210526,2.36072999727281
"TSPAN13","BC17",0.406685236768802,0.41227581107563
"RNF139","BC11",0.517985611510791,0.43468515343912
"RNF139","BC12",0.789473684210526,0.654499594541788
"RNF139","BC17",0.309192200557103,0.262734073326258
"TOMM6","BC11",0.913669064748201,1.33101171718623
"TOMM6","BC12",0.944736842105263,1.35565413082005
"TOMM6","BC17",0.874651810584958,1.12753565792822
"MORF4L2","BC11",0.913669064748201,1.31867883122004
"MORF4L2","BC12",0.963157894736842,1.71120663255139
"MORF4L2","BC17",0.947075208913649,1.55928334672089
"PSIP1","BC11",0.262589928057554,0.176189597160222
"PSIP1","BC12",0.0947368421052632,0.0422522487339672
"PSIP1","BC17",0.428969359331476,0.377770412977033
"MRPL27","BC11",0.888489208633094,1.2300817869166
"MRPL27","BC12",0.755263157894737,0.614723055913825
"MRPL27","BC17",0.735376044568245,0.777316046543868
"CEACAM6","BC11",0.12589928057554,0.122109339070442
"CEACAM6","BC12",0.828947368421053,0.906344980150589
"CEACAM6","BC17",0.0501392757660167,0.0530783844355248
"HAUS1","BC11",0.12589928057554,0.0865973039241451
"HAUS1","BC12",0.207894736842105,0.0871853131936696
"HAUS1","BC17",0.841225626740947,1.24811902649028
"NDUFB7","BC11",0.935251798561151,1.32353826000255
