"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.45631598128819e-14,-1.14992951444674,0.587,0.825,1.63217029130661e-09,"TRAF4"
4.49361309938723e-14,1.67655039126893,0.64,0.377,1.64583073378157e-09,"RERG"
4.52108350284848e-14,-2.3702114718023,0.05,0.227,1.65589204375329e-09,"GBP1"
4.67529949432531e-14,-2.6276003739197,0.058,0.24,1.71237519279159e-09,"TNFAIP3"
4.92679279723997e-14,0.533746289707173,0.978,0.974,1.80448712991711e-09,"TMA7"
5.64669245471175e-14,-0.969732575652508,0.766,0.903,2.06815757846273e-09,"CD59"
6.0467072984757e-14,-0.703468360068116,0.868,0.987,2.21466701513971e-09,"ATF4"
6.4048456842408e-14,-1.16397726461214,0.268,0.584,2.34583878031004e-09,"KDM6B"
6.60160136926283e-14,-2.59524043737326,0.035,0.188,2.4179025175062e-09,"CCDC71L"
6.63833800885785e-14,-3.07095217335185,0.051,0.227,2.43135767912428e-09,"HMOX1"
8.42647138644664e-14,-1.03997689549329,0.593,0.831,3.08627940999995e-09,"TUBA1C"
1.01228228032961e-13,-2.58656951995395,0.047,0.214,3.70758507993524e-09,"WNT9A"
1.12118633187802e-13,-1.57932989252151,0.543,0.773,4.10645705913645e-09,"KRT7"
1.19570002622752e-13,-2.68859985330926,0.035,0.188,4.37937091606093e-09,"EXPH5"
1.35455995037826e-13,-1.64270605506827,0.185,0.455,4.96121127425541e-09,"PLEKHO1"
1.39753609724856e-13,-2.65455741830888,0.067,0.253,5.11861570978258e-09,"RDH10"
1.45968863635729e-13,-1.29645463920519,0.194,0.481,5.34625559952222e-09,"CORO1C"
1.46466684764611e-13,0.784340684888972,0.952,0.916,5.36448879618863e-09,"COX5A"
1.52145568631386e-13,-3.28671790145834,0.015,0.13,5.57248359669316e-09,"LHFPL2"
1.57071927317825e-13,-1.405477514801,0.199,0.474,5.75291640994267e-09,"RMND5A"
1.58269365541267e-13,-1.6624566833305,0.154,0.409,5.79677378231445e-09,"ETS2"
1.63121179968982e-13,-2.51956762374226,0.05,0.221,5.97447633754392e-09,"F2RL1"
1.65265830035965e-13,-1.97162617710476,0.073,0.266,6.05302629089724e-09,"SPAG4"
1.71822236311944e-13,-1.37762053269812,0.347,0.636,6.29316122716126e-09,"JMJD1C"
1.97168000234144e-13,-1.52470806525898,0.267,0.545,7.22147517657575e-09,"ANKRD10"
2.04339275229991e-13,3.12018252701489,0.395,0.097,7.48413029457364e-09,"ALB"
2.08928613417531e-13,1.48906028083279,0.619,0.331,7.6522193950305e-09,"CMBL"
2.15395560195301e-13,-2.04318491130474,0.062,0.247,7.88907778771309e-09,"UPP1"
2.38552161593426e-13,-1.41513989591384,0.186,0.455,8.7372114705208e-09,"FLNA"
2.47895611118499e-13,-1.01818211066141,0.544,0.786,9.07942465282613e-09,"MGP"
2.53644912974199e-13,-0.935298996838716,0.95,0.981,9.28999858259301e-09,"CLDN4"
2.57931161076364e-13,-1.568910848649,0.244,0.519,9.44698670558291e-09,"ARID5B"
2.87166352807174e-13,-1.37872553304249,0.289,0.584,1.05177548379156e-08,"BCL10"
3.05787196548609e-13,-2.55690402657007,0.018,0.136,1.11997618607894e-08,"STX11"
3.17841600694504e-13,-1.13471572068233,0.335,0.617,1.16412664670369e-08,"TSPAN15"
3.19806180720042e-13,-1.16343872088953,0.483,0.734,1.17132211750522e-08,"AL121944.1"
3.359087290112e-13,0.649452260213147,0.951,0.896,1.23029931087642e-08,"ATP5F1D"
3.40180759964425e-13,-1.90752659483306,0.171,0.422,1.2459460514457e-08,"GSN"
3.41599588637704e-13,-1.63470995514412,0.147,0.39,1.25114265334445e-08,"CHML"
3.61340474604069e-13,-0.516642163201444,0.998,1,1.32344562228486e-08,"MYL6"
3.61503352505371e-13,0.833454796817557,0.951,0.896,1.32404217888617e-08,"JUNB"
3.97534226716468e-13,-0.901236912590388,0.527,0.799,1.45600885877173e-08,"CHMP2B"
4.14490836219472e-13,-1.32160701786542,0.288,0.578,1.51811413673744e-08,"RNF103"
4.2555321491572e-13,-1.24581018909033,0.423,0.701,1.55863120495032e-08,"CLIP1"
4.26653351420001e-13,-1.43573785113754,0.165,0.422,1.5626605649109e-08,"TCIM"
4.73093965785424e-13,-0.854540436048516,0.681,0.844,1.7327539590857e-08,"GOLGA4"
4.92815046766396e-13,-1.24969081583844,0.204,0.487,1.8049843902866e-08,"RRAGC"
5.39463254415781e-13,-0.377210948091533,0.285,0.643,1.97583811562324e-08,"SERPINA1"
5.43457033370705e-13,-1.77461135345085,0.17,0.403,1.99046573042354e-08,"SWAP70"
6.03271010937705e-13,-3.31199575794247,0.016,0.13,2.20954040466044e-08,"PXDC1"
6.6998385509071e-13,0.890713258582878,0.847,0.753,2.45388286765523e-08,"NDUFB1"
7.21577108860324e-13,-0.446779611514915,0.998,1,2.64284831891182e-08,"RPL24"
8.03571853790315e-13,1.24106325464706,0.786,0.63,2.94316227169241e-08,"NDUFS2"
8.65526851210204e-13,-2.40477808311503,0.03,0.169,3.17007864524249e-08,"PRKD3"
8.90529037017481e-13,2.43623172400063,0.455,0.162,3.26165165098022e-08,"HAUS1"
9.35811982732811e-13,-1.52505703735563,0.157,0.396,3.4275049679572e-08,"BCL2L12"
9.80834206064565e-13,-1.07574657665822,0.536,0.792,3.59240336313208e-08,"TRIB1"
1.0275929867461e-12,2.70973484748502,0.404,0.11,3.76366207325625e-08,"SERPINI1"
1.02942782965989e-12,-0.787618133349155,0.625,0.857,3.77038236891233e-08,"RAD23B"
1.04522051922557e-12,-1.62365869354991,0.363,0.662,3.82822467371558e-08,"CCN1"
1.10166280168901e-12,-1.45111564359809,0.177,0.422,4.03495017746619e-08,"EHF"
1.13369665531288e-12,-3.94691500424845,0.009,0.104,4.15227736974896e-08,"TMEM158"
1.14946099427238e-12,-1.32502617860519,0.292,0.578,4.21001583762201e-08,"OVOL1"
1.17171719963931e-12,-4.16398778948486,0.009,0.104,4.29153141539892e-08,"RNF128"
1.1805518467064e-12,-0.78626892153678,0.735,0.929,4.32388919374685e-08,"TMED9"
1.25644123084987e-12,-1.8713472005656,0.117,0.331,4.60184165211074e-08,"SMTN"
1.27365110574431e-12,0.692501209250185,0.947,0.909,4.66487453989911e-08,"COPS9"
1.27470929701259e-12,0.883121291883258,0.96,0.935,4.6687502712383e-08,"COX7B"
1.29096961959112e-12,-0.727091322429822,0.545,0.812,4.72830532871444e-08,"PLAAT3"
1.32194802239861e-12,3.0433805640039,0.374,0.091,4.84176682683716e-08,"SLC27A2"
1.32871888263373e-12,-1.99557838434625,0.041,0.195,4.8665657795343e-08,"AHNAK2"
1.47147927968253e-12,-2.2928336333808,0.071,0.253,5.38944000976525e-08,"LMO7"
1.58824950018183e-12,-2.96870788884963,0.009,0.104,5.81712261936598e-08,"EGFR"
1.62272832627003e-12,-1.41406508181673,0.344,0.61,5.9434047677966e-08,"CWC25"
1.86159146678543e-12,0.823330435718843,0.916,0.89,6.81826490624832e-08,"SLC9A3R1"
1.92452868539446e-12,-1.69684049348681,0.13,0.351,7.04877876312576e-08,"TES"
2.04016268891158e-12,0.887672210469055,0.828,0.727,7.47229986440754e-08,"CERS2"
2.15249113427502e-12,-0.874364672675567,0.771,0.922,7.88371402839568e-08,"PPP1R15A"
2.2955081216706e-12,0.971034799874949,0.901,0.844,8.40752804643073e-08,"MDH2"
2.6859738879153e-12,0.441765149475703,1,1,9.8376479618786e-08,"MT-CO1"
2.73974585401779e-12,-2.21105125694177,0.046,0.201,1.00345931649255e-07,"SPECC1"
2.75142721072568e-12,0.720286510181195,0.926,0.825,1.00773773020039e-07,"C12orf57"
2.79052658015697e-12,-1.6040767481716,0.177,0.429,1.02205826524829e-07,"MAFK"
3.09297539633829e-12,1.82865561401057,0.494,0.188,1.13283316866286e-07,"RBP1"
3.13355868780103e-12,-1.83510740181627,0.055,0.221,1.147697204994e-07,"RCAN1"
3.22400365560735e-12,1.77199189490863,0.66,0.448,1.18082357890275e-07,"CKB"
3.47888919166408e-12,-0.992370469365801,0.415,0.701,1.27417795533888e-07,"PDLIM5"
3.58899540365635e-12,-2.01649511261348,0.111,0.318,1.31450545654318e-07,"RELB"
3.63716011233016e-12,-0.976341593121292,0.508,0.76,1.33214626274205e-07,"CAPN2"
3.6964944658939e-12,-1.94757471463206,0.103,0.305,1.3538780630783e-07,"PDE4B"
3.70325284687369e-12,1.14785961826755,0.839,0.708,1.35635338769596e-07,"CHCHD10"
3.70432928884992e-12,-1.52340549602338,0.167,0.403,1.35674764533417e-07,"PPP2R2D"
3.72602332687566e-12,-1.41489092665931,0.37,0.643,1.36469330370148e-07,"TGIF1"
3.92077262429199e-12,0.631036936372522,0.953,0.909,1.43602218137318e-07,"OST4"
4.24420638280487e-12,-1.49510654178667,0.15,0.383,1.55448302976611e-07,"RRAS"
4.46560967244952e-12,0.397379689666939,1,1,1.63557419863136e-07,"RPS15"
4.78336852583431e-12,-1.76353982211758,0.078,0.266,1.75195655627207e-07,"RGMB"
