"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
54,"NDUFAF3",0.672185538739713,"Tier_2_Strong_Robust_Candidate",0.705289747175892,0.705289747175892,0.983117977407135,0.983117977407135,0.805,0.448,0.357,0.800110534648077,0.713091922005571,0.921052631578947,"Consistent_3_of_3",1,0.357,0.805,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
55,"NDUFB4",0.672060477631703,"Tier_2_Strong_Robust_Candidate",0.669011888572467,0.669011888572467,0.723295108579735,0.723295108579735,0.96,0.777,0.183,0.959491881644955,0.944736842105263,0.98050139275766,"Consistent_3_of_3",1,0.183,0.96,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
56,"COX14",0.670866569666946,"Tier_2_Strong_Robust_Candidate",0.700907487490663,0.700907487490663,0.944859899925304,0.944859899925304,0.821,0.478,0.343,0.822080016678638,0.792105263157895,0.846796657381616,"Consistent_3_of_3",1,0.343,0.821,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
57,"PBX1",0.670675991826099,"Tier_2_Strong_Robust_Candidate",0.75137825371762,0.75137825371762,1.31662602974096,1.31662602974096,0.8,0.416,0.384,0.814265754966764,0.671309192200557,0.982014388489209,"Consistent_3_of_3",1,0.384,0.8,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
58,"ATP5ME",0.670291597225851,"Tier_2_Strong_Robust_Candidate",0.667347223817779,0.667347223817779,0.713177790542229,0.713177790542229,0.949,0.757,0.192,0.952842013150951,0.886842105263158,0.986072423398329,"Consistent_3_of_3",1,0.192,0.949,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
59,"SLC39A6",0.670196058625176,"Tier_2_Strong_Robust_Candidate",0.695435460619314,0.695435460619314,0.939483684954513,0.939483684954513,0.94,0.74,0.2,0.93934049066274,0.891364902506964,0.984210526315789,"Consistent_3_of_3",1,0.2,0.94,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
60,"CKS2",0.669085860190442,"Tier_2_Strong_Robust_Candidate",0.728569683356045,0.728569683356045,1.28295746684836,1.28295746684836,0.699,0.307,0.392,0.712025072802043,0.584958217270195,0.866906474820144,"Consistent_3_of_3",1,0.392,0.699,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
61,"DYNLRB1",0.668644075921236,"Tier_2_Strong_Robust_Candidate",0.686917241235651,0.686917241235651,0.821737929885207,0.821737929885207,0.91,0.649,0.261,0.907343153478976,0.881294964028777,0.927576601671309,"Consistent_3_of_3",1,0.261,0.91,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
62,"NDUFS6",0.667746100131695,"Tier_2_Strong_Robust_Candidate",0.662463999645813,0.662463999645813,0.640511997166507,0.640511997166507,0.889,0.616,0.273,0.887149538542454,0.866295264623955,0.921052631578947,"Consistent_3_of_3",1,0.273,0.889,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
63,"STARD10",0.667244062115248,"Tier_2_Strong_Robust_Candidate",0.737461494195711,0.737461494195711,1.18129195356569,1.18129195356569,0.84,0.481,0.359,0.851545920571855,0.768421052631579,0.97841726618705,"Consistent_3_of_3",1,0.359,0.84,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
