"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
377,"BAG3",0.544917170223626,"Tier_3_Exploratory_Robust",0.633606785987791,0.633606785987791,0.905654287902327,0.905654287902327,0.581,0.31,0.271,0.601383528860829,0.345403899721448,0.856115107913669,"Consistent_3_of_3",1,0.271,0.581,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
378,"CAND1",0.544100510902339,"Tier_3_Exploratory_Robust",0.600967393986019,0.600967393986019,0.750139151888154,0.750139151888154,0.523,0.26,0.263,0.521824458040956,0.495821727019499,0.555263157894737,"Consistent_3_of_3",1,0.263,0.523,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
379,"SPATA20",0.543587026609481,"Tier_3_Exploratory_Robust",0.673589042473575,0.673589042473575,1.4015123397886,1.4015123397886,0.443,0.144,0.299,0.462530846163122,0.307894736842105,0.661870503597122,"Consistent_3_of_3",1,0.299,0.443,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
380,"CTSA",0.542692958920957,"Tier_3_Exploratory_Robust",0.6042146338033,0.6042146338033,0.798517070426401,0.798517070426401,0.501,0.23,0.271,0.49489969086159,0.37883008356546,0.652631578947368,"Consistent_3_of_3",1,0.271,0.501,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
381,"C8orf82",0.542507367829021,"Tier_3_Exploratory_Robust",0.677883206827957,0.677883206827957,1.47906565462366,1.47906565462366,0.455,0.195,0.26,0.442999542603126,0.294964028776978,0.568245125348189,"Consistent_3_of_3",1,0.26,0.455,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
383,"FBP1",0.542110982237213,"Tier_3_Exploratory_Robust",0.594464521776841,0.594464521776841,0.680516174214728,0.680516174214728,0.522,0.247,0.275,0.535374515224355,0.381578947368421,0.661870503597122,"Consistent_3_of_3",1,0.275,0.522,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
384,"POP7",0.541891735280165,"Tier_3_Exploratory_Robust",0.580842482051682,0.580842482051682,0.534739856413452,0.534739856413452,0.599,0.378,0.221,0.589013931795481,0.489208633093525,0.678947368421053,"Consistent_3_of_3",1,0.221,0.599,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
385,"CTSZ",0.541652365964198,"Tier_3_Exploratory_Robust",0.602872958668175,0.602872958668175,0.803783669345402,0.803783669345402,0.525,0.288,0.237,0.535412326933644,0.264623955431755,0.694244604316547,"Consistent_3_of_3",1,0.237,0.525,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
386,"COPRS",0.540758513558941,"Tier_3_Exploratory_Robust",0.637486092538763,0.637486092538763,0.984688740310106,0.984688740310106,0.545,0.268,0.277,0.532526050703199,0.428057553956835,0.721052631578947,"Consistent_3_of_3",1,0.277,0.545,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
387,"HMGCS1",0.540680869114965,"Tier_3_Exploratory_Robust",0.624392326594174,0.624392326594174,1.07993861275339,1.07993861275339,0.463,0.229,0.234,0.474589318429438,0.392105263157895,0.597122302158273,"Consistent_3_of_3",1,0.234,0.463,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
