gene,coefficient,test_sample,selected_C
BPTF,-0.03121724002076212,BC11,0.01
CISD3,0.014126859108283008,BC11,0.01
TMEM141,-0.002130321652237057,BC11,0.01
ECH1,-0.06441138537324527,BC11,0.01
SYAP1,0.06064370170207289,BC11,0.01
SORD,0.035896275968403786,BC11,0.01
GAMT,0.0157833202815508,BC11,0.01
GADD45G,0.10835855369976363,BC11,0.01
DGCR6L,0.02486977976601037,BC11,0.01
MCRIP2,0.02009106257943958,BC11,0.01
MARCHF6,0.013098458603338374,BC11,0.01
HEBP1,0.0013561890805983974,BC11,0.01
BLVRA,0.007906114619186864,BC11,0.01
MTCH1,-0.04225023603430962,BC11,0.01
LAMP2,-0.02675764335656652,BC11,0.01
FOSB,-0.0405981725018152,BC11,0.01
PNPLA4,0.07981374176806198,BC11,0.01
PNKD,-0.017233568253160608,BC11,0.01
MDH1,-0.026211077076048903,BC11,0.01
SHARPIN,0.052788881856824295,BC11,0.01
SDHB,0.005739077183732845,BC11,0.01
TPD52L1,0.018553367288342653,BC11,0.01
YIPF3,0.009369899980610106,BC11,0.01
RABAC1,-0.05536623923197631,BC11,0.01
MRPL36,-0.00017315313178415797,BC11,0.01
TCEAL1,0.025490090234201217,BC11,0.01
NDUFA10,-0.03975566621643567,BC11,0.01
PRLR,0.021069359902321835,BC11,0.01
PHF14,0.0053150149378653104,BC11,0.01
SUPT4H1,-0.04031910787931222,BC11,0.01
PRXL2A,-0.024205520535008154,BC11,0.01
CCDC167,0.06271524629488893,BC11,0.01
BAD,0.038135109865523695,BC11,0.01
SPDEF,-0.016046818833940043,BC11,0.01
MRPS18A,0.05469887046673737,BC11,0.01
BSCL2,-0.023346504893602304,BC11,0.01
LASP1,0.013431142369364983,BC11,0.01
MRPL21,0.07467493244826574,BC11,0.01
NR2F6,0.012405556998856267,BC11,0.01
NORAD,0.000342502640865679,BC11,0.01
ERLEC1,-0.01614720882232916,BC11,0.01
ACSF2,-0.030436067488341125,BC11,0.01
EIF2AK1,0.030627210337400942,BC11,0.01
RHBDD2,0.021140763505779404,BC11,0.01
EMC10,-0.027948980303608578,BC11,0.01
TSC22D3,-0.03038083150862655,BC11,0.01
RBM47,-0.045285456342826325,BC11,0.01
SERINC3,-0.029045036100815862,BC11,0.01
LRPAP1,-0.0669134397507292,BC11,0.01
RNF187,-0.05805295900186705,BC11,0.01
CDH1,-0.04106628467318875,BC11,0.01
DYNLL2,0.03743313953826069,BC11,0.01
YIPF6,0.01135852183932718,BC11,0.01
MLF2,-0.008269404078773876,BC11,0.01
MRPS14,-0.03189094865784902,BC11,0.01
DMAC1,-0.006104601655829656,BC11,0.01
FLOT1,-0.02475630578579016,BC11,0.01
ING2,0.04845900291914934,BC11,0.01
ISOC2,0.04427034286639183,BC11,0.01
OS9,0.007027841341388055,BC11,0.01
PTOV1,-0.02010963924145878,BC11,0.01
SRSF1,-0.07924190664714566,BC11,0.01
HAGH,0.010083799252258649,BC11,0.01
POLDIP2,0.018881912165403036,BC11,0.01
COA1,0.06256978187330278,BC11,0.01
CMC1,-0.022516991731015457,BC11,0.01
