"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.02045984229606e-69,0.636348547717138,0.672,0.413,3.73753621839357e-65,"6","NDUFS7"
2.33694494519132e-69,0.68404178526695,0.733,0.462,8.55929455625771e-65,"6","FKBP4"
2.34168734822908e-69,0.635682469136785,0.74,0.468,8.57666408162382e-65,"6","TXNDC17"
2.4330347419856e-69,0.732517943816649,0.483,0.242,8.91123304599647e-65,"6","AK1"
3.6898276921872e-69,0.813244250375581,0.468,0.234,1.35143629054048e-64,"6","REEP6"
4.77934032603688e-69,0.634380028393583,0.632,0.368,1.75048118781427e-64,"6","RPP21"
5.23422906104685e-69,0.73262521520183,0.44,0.21,1.91708873589902e-64,"6","RSRC1"
6.57801204082715e-69,0.573654384381414,0.795,0.506,2.40926269007335e-64,"6","NUCB2"
9.67291408090858e-69,0.63922523825161,0.597,0.324,3.54280151127358e-64,"6","PRXL2A"
9.71333703181906e-69,1.05966042183762,0.253,0.093,3.55760682127405e-64,"6","THEM6"
1.16360408534358e-68,0.786873640347338,0.314,0.129,4.26181632297938e-64,"6","LMF2"
1.71245267478741e-68,0.78147788891921,0.309,0.123,6.27202916667639e-64,"6","RPA2"
2.02509092242397e-68,1.26123104148837,0.258,0.098,7.41709801247003e-64,"6","PEG10"
2.52923208456409e-68,1.03505985955215,0.279,0.108,9.26356543292444e-64,"6","PPP5C"
3.07857943716136e-68,0.704142441552975,0.481,0.242,1.12756050465472e-63,"6","MRPS17"
4.22344257913731e-68,0.752354344508762,0.434,0.206,1.54687807903483e-63,"6","ABHD12"
4.69746318994277e-68,0.665531507522529,0.716,0.464,1.72049286794844e-63,"6","ATOX1"
6.69914841052806e-68,0.667862341972916,0.777,0.555,2.45363009684001e-63,"6","RAB13"
7.35290855701161e-68,0.629669773671877,0.825,0.622,2.69307628809107e-63,"6","NDUFB11"
7.64106435380061e-68,0.73727391498021,0.697,0.45,2.79861623022301e-63,"6","TMEM14B"
9.73171930888726e-68,1.01369317302151,0.262,0.098,3.56433951407305e-63,"6","POLR1G"
2.37768597030457e-67,0.599995129574829,0.582,0.318,8.70851263483753e-63,"6","MRPL34"
2.4538721421271e-67,0.883355206936199,0.402,0.187,8.9875521077547e-63,"6","C9orf116"
3.19950452535344e-67,0.718653903696264,0.474,0.238,1.17185052745595e-62,"6","PAGR1"
3.64541567861404e-67,0.617797742197731,0.401,0.183,1.33516994644918e-62,"6","CMSS1"
3.67937265983506e-67,0.961249552003709,0.288,0.113,1.34760703039119e-62,"6","OAZ3"
3.91118749165381e-67,1.16656559549665,0.374,0.176,1.43251153069312e-62,"6","CLEC3A"
4.61523014169575e-67,0.933643164194246,0.391,0.183,1.69037419169748e-62,"6","EVA1B"
4.63821142238372e-67,0.649955960001295,0.509,0.265,1.69879131556226e-62,"6","MGST2"
5.08758767520712e-67,0.628761755050228,0.705,0.447,1.86337986192136e-62,"6","PDCD5"
5.58963431976882e-67,0.735463249191592,0.396,0.184,2.04725946595853e-62,"6","YIF1B"
6.49546216903418e-67,0.653613277329785,0.58,0.316,2.37902797403046e-62,"6","PLEKHJ1"
7.09714254872527e-67,0.844169555889648,0.579,0.33,2.59939942989612e-62,"6","METRN"
7.72510650932078e-67,0.680142977048394,0.612,0.354,2.82939751010383e-62,"6","BAD"
8.67702531305549e-67,0.554214699576231,0.531,0.271,3.1780472911597e-62,"6","SELENBP1"
1.12161877483071e-66,0.621809134481546,0.387,0.174,4.10804092469496e-62,"6","GALNT6"
1.56499677858278e-66,0.674460433541807,0.742,0.484,5.73195720123729e-62,"6","NDUFC1"
1.63894382556087e-66,0.615265996808397,0.766,0.514,6.00279565549926e-62,"6","MRPL41"
2.05197646956533e-66,0.473642027269444,0.922,0.764,7.51556901742997e-62,"6","ATP5MC2"
2.37466644524189e-66,0.595894196954617,0.81,0.557,8.69745332234294e-62,"6","HSBP1"
2.39526483300378e-66,1.05326543614573,0.255,0.096,8.77289697735963e-62,"6","GALK1"
2.93776800287799e-66,0.813244001391695,0.418,0.202,1.07598690873409e-61,"6","TRAP1"
3.22903092317242e-66,0.652938921717818,0.783,0.52,1.18266486592113e-61,"6","TCEAL4"
3.37095452533524e-66,0.775286852000285,0.526,0.281,1.23464580444929e-61,"6","PYCR1"
3.80028050415126e-66,0.63968318468399,0.453,0.223,1.39189073745044e-61,"6","EEF1E1"
4.30817448275513e-66,0.889504608535864,0.273,0.105,1.5779119860539e-61,"6","HSD17B8"
5.6588985636181e-66,0.593318519840542,0.837,0.633,2.07262818791076e-61,"6","SPCS1"
5.80233235379462e-66,0.531729393743277,0.88,0.695,2.12516224790082e-61,"6","COX5B"
6.20872840989209e-66,0.754343973583093,0.486,0.254,2.27400886740708e-61,"6","MAPT"
8.7581497120698e-66,0.612183879477144,0.62,0.351,3.20775991354268e-61,"6","HACD3"
1.16880120134053e-65,0.723161113451797,0.547,0.296,4.28085128002981e-61,"6","NDUFV1"
1.27251391799827e-65,0.956202132373476,0.368,0.168,4.66070947606046e-61,"6","TFDP1"
2.11704668190917e-65,0.622324537545928,0.849,0.636,7.75389517716051e-61,"6","ATP5MPL"
2.1173227812213e-65,0.747197108323162,0.549,0.297,7.75490641850115e-61,"6","IRX3"
2.45768956351952e-65,0.558927961916073,0.399,0.184,9.0015337953466e-61,"6","OIP5-AS1"
2.91502224951308e-65,0.719197075435545,0.573,0.32,1.06765604910666e-60,"6","SLC50A1"
3.17551584590881e-65,0.70599691969917,0.615,0.362,1.16306443372256e-60,"6","CCT5"
3.79697368654262e-65,0.747817926653322,0.544,0.297,1.3906795824331e-60,"6","EBNA1BP2"
4.66753252446931e-65,0.655961554067432,0.589,0.327,1.70953046241213e-60,"6","BSCL2"
5.63756039703397e-65,0.694429123153398,0.713,0.442,2.06481287101766e-60,"6","EIF5A"
6.39216793429777e-65,0.51104469599105,0.961,0.813,2.3411954276159e-60,"6","UBB"
7.10276260297483e-65,0.908067703443448,0.387,0.179,2.60145783096556e-60,"6","ERI3"
7.49426082678784e-65,0.617442346018559,0.497,0.254,2.74484797041931e-60,"6","SVIP"
7.97550666138725e-65,0.757028051723671,0.485,0.253,2.92110906979969e-60,"6","NMRAL1"
8.19366761189095e-65,0.682917194883048,0.567,0.316,3.00101269953118e-60,"6","RABEP1"
8.50034550890016e-65,0.649445004973112,0.704,0.454,3.11333654608977e-60,"6","MRPL57"
8.67267360520843e-65,0.913267070546496,0.314,0.131,3.17645343464364e-60,"6","ALDH7A1"
9.10232674899638e-65,0.751522211868747,0.516,0.27,3.33381819508742e-60,"6","NDUFV3"
9.33520701162228e-65,0.610934526771361,0.727,0.484,3.41911292007678e-60,"6","NAXE"
2.30613573019695e-64,0.583353360619209,0.368,0.164,8.44645272541934e-60,"6","ICAM3"
