"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag","strong_candidate","strong_3sample","review_category","final_review_status","pathway_support_score","biological_relevance_score","consistency_penalty","review_penalty","final_biological_score","tumor_priority_score","OXPHOS_priority_score","final_panel_rank"
13,"GATA3",0.709856373078879,"Tier_2_Strong_Robust_Candidate",0.729965562123559,0.729965562123559,0.996524496988474,0.996524496988474,0.941,0.605,0.336,0.942055533113459,0.934210526315789,0.953237410071942,"Consistent_3_of_3",1,0.336,0.941,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.425993112424712,0,0,0.425993112424712,0.760887946743246,0.847189668637068,196
60,"CKS2",0.669085860190442,"Tier_2_Strong_Robust_Candidate",0.728569683356045,0.728569683356045,1.28295746684836,1.28295746684836,0.699,0.307,0.392,0.712025072802043,0.584958217270195,0.866906474820144,"Consistent_3_of_3",1,0.392,0.699,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.425713936671209,0,0,0.425713936671209,0.723199389174616,0.798370905006814,197
145,"HPN",0.62968655610746,"Tier_3_Exploratory_Robust",0.724675954932564,0.724675954932564,1.56380763946051,1.56380763946051,0.539,0.182,0.357,0.527356340993764,0.399280575539568,0.593314763231198,"Consistent_3_of_3",1,0.357,0.539,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.424935190986513,0,0,0.424935190986513,0.682836584226397,0.765202786479769,198
624,"RMND1",0.442145911792159,"Tier_4_Exploratory",0.524599158315991,0.524599158315991,0.78463702612084,0.78463702612084,0.308,0.157,0.151,0.31015155622167,0.289693593314763,0.338129496402878,"Consistent_3_of_3",1,0.151,0.308,0.898130200339238,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.424919831663198,0,0,0.424919831663198,0.525409705410597,0.663699277545683,199
582,"ZDHHC4",0.465672982824271,"Tier_4_Exploratory",0.522111928803885,0.522111928803885,0.606850841386523,0.606850841386523,0.416,0.243,0.173,0.408168172982505,0.334532374100719,0.5,"Consistent_3_of_3",1,0.173,0.416,0.856370490870465,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",3,0.424422385760777,0,0,0.424422385760777,0.55053917508136,0.678289152271735,200
107,"RSBN1L",0.646223260497278,"Tier_3_Exploratory_Robust",0.721209784855062,0.721209784855062,1.4064782788405,1.4064782788405,0.665,0.353,0.312,0.647469023754754,0.420863309352518,0.913649025069638,"Consistent_3_of_3",1,0.312,0.665,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.424241956971012,0,0,0.424241956971012,0.697823424699272,0.789362935456519,201
24,"TMEM230",0.696602381695325,"Tier_2_Strong_Robust_Candidate",0.720900216910069,0.720900216910069,0.983201735280551,0.983201735280551,0.887,0.534,0.353,0.888664942551164,0.86908077994429,0.910071942446043,"Consistent_3_of_3",1,0.353,0.887,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.424180043382014,0,0,0.424180043382014,0.750315075918524,0.833670065073021,202
33,"CST3",0.683884296908137,"Tier_2_Strong_Robust_Candidate",0.719055831229711,0.719055831229711,1.13804664983769,1.13804664983769,0.971,0.808,0.163,0.972914528661487,0.958217270194986,1,"Consistent_3_of_3",1,0.163,0.971,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.423811166245942,0,0,0.423811166245942,0.728469540930399,0.849916749368913,203
147,"CTSF",0.628839874402642,"Tier_3_Exploratory_Robust",0.717978961826481,0.717978961826481,1.49743169461185,1.49743169461185,0.572,0.24,0.332,0.547581369005367,0.305755395683453,0.810526315789474,"Consistent_3_of_3",1,0.332,0.572,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.423595792365296,0,0,0.423595792365296,0.682092636639268,0.769793688547944,204
84,"IGFBP4",0.653504471863885,"Tier_2_Strong_Robust_Candidate",0.716012621768069,0.716012621768069,1.26410097414455,1.26410097414455,0.679,0.318,0.361,0.681663201911715,0.518105849582173,0.789473684210526,"Consistent_3_of_3",1,0.361,0.679,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Standard_candidate",TRUE,TRUE,"Other_Research_Candidate","Standard",2,0.423202524353614,0,0,0.423202524353614,0.708604417618824,0.790603786530421,205
